2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 103 , 14:32:d1:2f:31:55 , f8:da:c:20:91:3f , IPv4 , 10.50.21.101 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 179 , 30:f7:72:e:f4:db , f8:da:c:20:91:3f , IPv4 , 10.50.20.240 , 239.255.255.250 , UDP , 60008 , 1900 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:19.1522434019 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:19.1522434019 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:19.1522434019 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
